,Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
161,228,,Algeria,28.0339,1.6596,2020-03-03,5.0,0.0,Réunion,895312.0,0.72%,6385.0,358.0,2500.0,-1256.0,2.3,36,100%,0.01%
162,229,,Algeria,28.0339,1.6596,2020-03-04,12.0,0.0,Comoros,869601.0,2.20%,18715.0,467.0,1861.0,-2000.0,4.2,20,29%,0.01%
163,230,,Algeria,28.0339,1.6596,2020-03-05,12.0,0.0,Guyana,786552.0,0.48%,3786.0,4.0,196850.0,-6000.0,2.5,27,27%,0.01%
164,231,,Algeria,28.0339,1.6596,2020-03-06,17.0,0.0,Bhutan,771608.0,1.12%,8516.0,20.0,38117.0,320.0,2,28,46%,0.01%
165,232,,Algeria,28.0339,1.6596,2020-03-07,17.0,0.0,Solomon Islands,686884.0,2.55%,17061.0,25.0,27990.0,-1600.0,4.4,20,23%,0.01%
166,233,,Algeria,28.0339,1.6596,2020-03-08,19.0,0.0,Macao,649335.0,1.39%,8890.0,21645.0,30.0,5000.0,1.2,39,N.A.,0.01%
167,234,,Algeria,28.0339,1.6596,2020-03-09,20.0,0.0,Montenegro,628066.0,0.01%,79.0,47.0,13450.0,-480.0,1.8,39,68%,0.01%
168,235,,Algeria,28.0339,1.6596,2020-03-10,20.0,0.0,Luxembourg,625978.0,1.66%,10249.0,242.0,2590.0,9741.0,1.5,40,88%,0.01%
169,236,,Algeria,28.0339,1.6596,2020-03-11,20.0,0.0,Western Sahara,597339.0,2.55%,14876.0,2.0,266000.0,5582.0,2.4,28,87%,0.01%
170,237,,Algeria,28.0339,1.6596,2020-03-12,24.0,1.0,Suriname,586632.0,0.90%,5260.0,4.0,156000.0,-1000.0,2.4,29,65%,0.01%
171,238,,Algeria,28.0339,1.6596,2020-03-13,26.0,2.0,Cabo Verde,555987.0,1.10%,6052.0,138.0,4030.0,-1342.0,2.3,28,68%,0.01%
172,239,,Algeria,28.0339,1.6596,2020-03-14,37.0,3.0,Maldives,540544.0,1.81%,9591.0,1802.0,300.0,11370.0,1.9,30,35%,0.01%
173,240,,Algeria,28.0339,1.6596,2020-03-15,48.0,4.0,Malta,441543.0,0.27%,1171.0,1380.0,320.0,900.0,1.5,43,93%,0.01%
174,241,,Algeria,28.0339,1.6596,2020-03-16,54.0,4.0,Brunei,437479.0,0.97%,4194.0,83.0,5270.0,0.0,1.8,32,80%,0.01%
175,242,,Algeria,28.0339,1.6596,2020-03-17,60.0,4.0,Guadeloupe,400124.0,0.02%,68.0,237.0,1690.0,-1440.0,2.2,44,N.A.,0.01%
176,243,,Algeria,28.0339,1.6596,2020-03-18,74.0,7.0,Belize,397628.0,1.86%,7275.0,17.0,22810.0,1200.0,2.3,25,46%,0.01%
177,244,,Algeria,28.0339,1.6596,2020-03-19,87.0,9.0,Bahamas,393244.0,0.97%,3762.0,39.0,10010.0,1000.0,1.8,32,86%,0.01%
178,245,,Algeria,28.0339,1.6596,2020-03-20,90.0,11.0,Martinique,375265.0,-0.08%,-289.0,354.0,1060.0,-960.0,1.9,47,92%,0.00%
179,246,,Algeria,28.0339,1.6596,2020-03-21,139.0,15.0,Iceland,341243.0,0.65%,2212.0,3.0,100250.0,380.0,1.8,37,94%,0.00%
180,280,,Andorra,42.5063,1.5218,2020-01-22,0.0,0.0,Vanuatu,307145.0,2.42%,7263.0,25.0,12190.0,120.0,3.8,21,24%,0.00%
181,281,,Andorra,42.5063,1.5218,2020-01-23,0.0,0.0,French Guiana,298682.0,2.70%,7850.0,4.0,82200.0,1200.0,3.4,25,87%,0.00%
182,282,,Andorra,42.5063,1.5218,2020-01-24,0.0,0.0,Barbados,287375.0,0.12%,350.0,668.0,430.0,-79.0,1.6,40,31%,0.00%
183,283,,Andorra,42.5063,1.5218,2020-01-25,0.0,0.0,New Caledonia,285498.0,0.97%,2748.0,16.0,18280.0,502.0,2,34,72%,0.00%
184,284,,Andorra,42.5063,1.5218,2020-01-26,0.0,0.0,French Polynesia,280908.0,0.58%,1621.0,77.0,3660.0,-1000.0,2,34,64%,0.00%
185,285,,Andorra,42.5063,1.5218,2020-01-27,0.0,0.0,Mayotte,272815.0,2.50%,6665.0,728.0,375.0,0.0,3.7,20,46%,0.00%
186,286,,Andorra,42.5063,1.5218,2020-01-28,0.0,0.0,Sao Tome & Principe,219159.0,1.91%,4103.0,228.0,960.0,-1680.0,4.4,19,74%,0.00%
187,287,,Andorra,42.5063,1.5218,2020-01-29,0.0,0.0,Samoa,198414.0,0.67%,1317.0,70.0,2830.0,-2803.0,3.9,22,18%,0.00%
188,288,,Andorra,42.5063,1.5218,2020-01-30,0.0,0.0,Saint Lucia,183627.0,0.46%,837.0,301.0,610.0,0.0,1.4,34,19%,0.00%
189,289,,Andorra,42.5063,1.5218,2020-01-31,0.0,0.0,Channel Islands,173863.0,0.93%,1604.0,915.0,190.0,1351.0,1.5,43,30%,0.00%
190,290,,Andorra,42.5063,1.5218,2020-02-01,0.0,0.0,Guam,168775.0,0.89%,1481.0,313.0,540.0,-506.0,2.3,31,95%,0.00%
191,291,,Andorra,42.5063,1.5218,2020-02-02,0.0,0.0,Curaçao,164093.0,0.41%,669.0,370.0,444.0,515.0,1.8,42,89%,0.00%
192,292,,Andorra,42.5063,1.5218,2020-02-03,0.0,0.0,Kiribati,119449.0,1.57%,1843.0,147.0,810.0,-800.0,3.6,23,57%,0.00%
193,293,,Andorra,42.5063,1.5218,2020-02-04,0.0,0.0,Micronesia,115023.0,1.06%,1208.0,164.0,700.0,-600.0,3.1,24,21%,0.00%
194,294,,Andorra,42.5063,1.5218,2020-02-05,0.0,0.0,Grenada,112523.0,0.46%,520.0,331.0,340.0,-200.0,2.1,32,35%,0.00%
195,295,,Andorra,42.5063,1.5218,2020-02-06,0.0,0.0,St. Vincent & Grenadines,110940.0,0.32%,351.0,284.0,390.0,-200.0,1.9,33,53%,0.00%
196,296,,Andorra,42.5063,1.5218,2020-02-07,0.0,0.0,Aruba,106766.0,0.43%,452.0,593.0,180.0,201.0,1.9,41,44%,0.00%
197,297,,Andorra,42.5063,1.5218,2020-02-08,0.0,0.0,Tonga,105695.0,1.15%,1201.0,147.0,720.0,-800.0,3.6,22,24%,0.00%
198,298,,Andorra,42.5063,1.5218,2020-02-09,0.0,0.0,U.S. Virgin Islands,104425.0,-0.15%,-153.0,298.0,350.0,-451.0,2,43,96%,0.00%
199,299,,Andorra,42.5063,1.5218,2020-02-10,0.0,0.0,Seychelles,98347.0,0.62%,608.0,214.0,460.0,-200.0,2.5,34,56%,0.00%
200,300,,Andorra,42.5063,1.5218,2020-02-11,0.0,0.0,Antigua and Barbuda,97929.0,0.84%,811.0,223.0,440.0,0.0,2,34,26%,0.00%
